,0
2685,1047
2686,721
2687,295
2688,9535
2689,962
2690,547
2691,16401
2692,498
2693,1737
2694,513
2695,13531
2696,2074
2697,778
2698,849
2699,900
2700,2559
2701,1676
2702,6323
2703,1035
2704,8537
2705,2735
2706,1093
2707,6685
2708,1819
2709,1464
2710,1900
2711,656
2712,1150
2713,1467
2714,878
2715,343
2716,2763
2717,886
2718,3651
2719,1356
2720,350
2721,322
2722,11934
2723,2750
2724,678
2725,20998
2726,1062
2727,364
2728,5114
2729,726
2730,4278
2731,435
2732,470
2733,3241
2734,7641
2735,3329
2736,18437
2737,727
2738,15422
2739,4471
2740,8967
2741,595
2742,80677
2743,6179
2744,22765
2745,543
2746,4899
2747,510
2748,388
2749,1788
2750,670
2751,1152
2752,479
2753,375
2754,876
2755,392
2756,690
2757,3025
2758,1698
2759,807
2760,973
2761,3236
2762,11207
2763,454
2764,392
2765,371
2766,304
2767,518
2768,721
2769,353
2770,270
2771,425
2772,258
2773,910
2774,1895
2775,206
2776,2013
2777,185
2778,224
2779,1233
2780,271
2781,387
2782,463
2783,540
2784,211
2785,785
2786,765
2787,742
2788,2026
2789,659
2790,1887
2791,1172
2792,745
2793,381
2794,778
2795,750
2796,2306
2797,565
2798,2406
2799,336
2800,1765
2801,425
2802,647
2803,2933
2804,3311
2805,2657
2806,671
2807,966
2808,1166
2809,828
2810,1574
2811,559
2812,398
2813,536
2814,3083
2815,554
2816,480
2817,325
2818,1701
2819,359
2820,499
2821,1004
2822,1233
2823,924
2824,10936
2825,1710
2826,1509
2827,1315
2828,761
2829,405
2830,1399
2831,838
2832,912
2833,717
2834,992
2835,366
2836,275
2837,741
2838,720
2839,317
2840,798
2841,1623
2842,993
2843,1086
2844,2057
2845,1000
2846,1139
2847,382
2848,417
2849,765
2850,184
2851,317
2852,581
2853,431
2854,673
2855,1571
2856,1304
2857,510
2858,599
2859,989
2860,470
2861,727
2862,1380
2863,1526
2864,700
2865,610
2866,853
2867,670
2868,2754
2869,457
2870,690
2871,496
2872,195
2873,1785
2874,2226
2875,586
2876,1351
2877,421
2878,3356
2879,1517
2880,4298
2881,280
2882,1326
2883,7282
2884,503
2885,705
2886,593
2887,390
2888,672
2889,547
2890,1090
2891,367
2892,3499
2893,461
2894,533
2895,2403
2896,360
2897,2731
2898,7718
2899,512
2900,1417
2901,514
2902,3050
2903,442
2904,859
2905,1708
2906,925
2907,689
2908,136
2909,1052
2910,872
2911,2416
2912,674
2913,491
2914,373
2915,307
2916,396
2917,448
2918,659
2919,451
2920,7496
2921,330
2922,1861
2923,524
2924,620
2925,1086
2926,1108
2927,1010
2928,346
2929,634
2930,3400
2931,756
2932,1617
2933,1582
2934,2105
2935,205
2936,437
2937,2638
2938,1234
2939,612
2940,4701
2941,547
2942,1910
2943,1403
2944,3673
2945,1618
2946,452
2947,1650
2948,516
2949,383
2950,957
2951,1244
2952,995
2953,1078
2954,679
2955,733
2956,1828
2957,414
2958,1039
2959,2996
2960,516
2961,356
2962,2244
2963,865
2964,898
2965,627
2966,971
2967,768
2968,726
2969,2820
2970,1658
2971,1842
2972,1575
2973,704
2974,2223
2975,381
2976,170
2977,5103
2978,1377
2979,1241
2980,574
2981,1022
2982,1510
2983,950
2984,425
2985,403
2986,918
2987,1412
2988,597
2989,718
2990,1699
2991,433
2992,549
2993,1121
2994,471
2995,7148
2996,528
2997,674
2998,4160
2999,460
3000,850
3001,531
3002,415
3003,778
3004,670
3005,1387
3006,894
3007,1924
3008,408
3009,610
3010,3139
3011,271
3012,1124
3013,945
3014,7063
3015,348
3016,800
3017,677
3018,408
3019,803
3020,449
3021,263
3022,951
3023,1171
3024,1214
3025,431
3026,9321
3027,280
3028,672
3029,956
3030,294
3031,413
3032,1074
3033,1105
3034,811
3035,287
3036,415
3037,596
3038,1276
3039,1528
3040,825
3041,293
3042,469
3043,6762
3044,410
3045,864
3046,1079
3047,745
3048,219
3049,1585
3050,527
3051,1660
3052,2085
3053,444
3054,358
3055,817
3056,355
3057,474
3058,455
3059,529
3060,1361
3061,1137
3062,2066
3063,425
3064,4798
3065,296
3066,984
3067,15154
3068,20986
3069,8851
3070,2000
3071,506
3072,413
3073,558
3074,1631
3075,1661
3076,6107
3077,1828
3078,1279
3079,316
3080,687
3081,1254
3082,2872
3083,707
3084,1305
3085,588
3086,2254
3087,683
3088,2541
3089,1498
3090,2071
3091,1140
3092,716
3093,3349
3094,3144
3095,6144
3096,693
3097,1952
3098,496
3099,5575
3100,963
3101,1114
3102,4322
3103,3977
3104,555
3105,370
3106,1003
3107,1025
3108,613
3109,946
3110,1213
3111,557
3112,1498
3113,6842
3114,551
3115,1726
3116,566
3117,702
3118,820
3119,643
3120,1112
3121,4715
3122,1393
3123,32626
3124,560
3125,530
3126,2164
3127,5170
3128,15786
3129,341
3130,2320
3131,1215
3132,5494
3133,4376
3134,3065
3135,1034
3136,3543
3137,1149
3138,9945
3139,3794
3140,828
3141,4850
3142,36269
3143,7854
3144,963
3145,2706
3146,5815
3147,712
3148,952
3149,17655
3150,30786
3151,5736
3152,4759
3153,553
3154,2198
3155,2170
3156,524
3157,4938
3158,11788
3159,18496
3160,312
3161,1494
3162,7732
3163,2349
3164,1502
3165,1912
3166,181796
3167,18709
3168,5040
3169,406
3170,2738
3171,8938
3172,17083
3173,21634
3174,98148
3175,19352
3176,948
3177,1129
3178,11479
3179,1790
3180,454
3181,9586
3182,586
3183,10850
3184,3229
3185,1374
3186,44312
3187,2408
3188,3120
3189,10890
3190,781
3191,4754
3192,2465
3193,1742
3194,575
3195,5594
3196,3059
3197,388
3198,854
3199,722
3200,819
3201,400
3202,458
3203,586
3204,643
3205,5451
3206,258
3207,1039
3208,8063
3209,213
3210,1634
3211,666
3212,2055
3213,7527
3214,4322
3215,736
3216,2494
3217,2050
3218,5398
3219,988
3220,2536
3221,7028
3222,5281
3223,1944
3224,323
3225,15101
3226,934
3227,776
3228,5958
3229,1083
3230,5740
3231,9217
3232,1859
3233,1093
3234,1405
3235,1474
3236,913
3237,6858
3238,2759
3239,1571
3240,688
3241,525
3242,529
3243,7347
3244,1837
3245,2790
3246,2551
3247,5712
3248,1253
3249,840
3250,1800
3251,1170
3252,718
3253,825
3254,715
3255,5029
3256,945
3257,4420
3258,53069
3259,947
3260,1708
3261,47611
3262,12665
3263,1493
3264,1952
3265,1170
3266,1195
3267,10421
3268,2776
3269,5636
3270,4890
3271,1101
3272,3778
3273,5115
3274,632
3275,6187
3276,936
3277,2937
3278,9227
3279,2182
3280,6537
3281,9934
3282,6110
3283,3296
3284,3978
3285,10529
3286,1520
3287,8337
3288,29826
3289,3992
3290,19267
3291,1022
3292,552
3293,2019
3294,18801
3295,2913
3296,248
3297,3698
3298,424
3299,2330
3300,619
3301,4199
3302,743
3303,2254
3304,628
3305,511
3306,2836
3307,3905
3308,10564
3309,2873
3310,587
3311,2698
3312,2301
3313,370
3314,1543
3315,13947
3316,2278
3317,1341
3318,4529
3319,940
3320,644
3321,2615
3322,921
3323,2166
3324,522
3325,4917
3326,32741
3327,978
3328,7272
3329,950
3330,7564
3331,2192
3332,1285
3333,1304
3334,1176
3335,676
3336,442
3337,4087
3338,360
3339,751
3340,2694
3341,1155
3342,541
3343,641
3344,768
3345,552
3346,2717
3347,2580
3348,907
3349,1078
3350,293
3351,479
3352,3931
3353,447
3354,1207
3355,576
3356,2026
3357,11342
3358,92590
3359,1493
3360,7308
3361,3928
3362,17645
3363,14358
3364,1561
3365,617
3366,250
3367,218
3368,1347
3369,533
3370,903
3371,548
3372,3955
3373,732
3374,2669
3375,1559
3376,1910
3377,1777
3378,1289
3379,1525
3380,673
3381,1333
3382,753
3383,1582
3384,420
3385,2000
3386,464
3387,399
3388,586
3389,4735
3390,5365
3391,9156
3392,796
3393,1184
3394,1063
3395,2260
3396,4316
3397,709
3398,612
3399,2784
3400,13455
3401,2509
3402,536
3403,4085
3404,1145
3405,2029
3406,976
3407,503
3408,3292
3409,6848
3410,1800
3411,4309
3412,850
3413,745
3414,5139
3415,538
3416,920
3417,11292
3418,25675
3419,2589
3420,1457
3421,574
3422,1315
3423,356
3424,513
3425,293
3426,2769
3427,17403
3428,19969
3429,17138
3430,30171
3431,20826
3432,33519
3433,7683
3434,362
3435,4153
3436,3297
3437,762
3438,824
3439,901
3440,2558
3441,4302
3442,3235
3443,868
3444,1209
3445,1658
3446,1799
3447,2249
3448,1381
3449,1991
3450,3639
3451,1865
3452,1931
3453,2705
3454,5112
3455,1458
3456,4269
3457,2495
3458,2664
3459,3589
3460,6013
3461,12615
3462,426
3463,2621
3464,731
3465,910
3466,1741
3467,789
3468,1027
3469,1229
3470,386
3471,3176
3472,812
3473,3985
3474,4413
3475,941
3476,812
3477,8925
3478,3831
3479,443
3480,1090
3481,2229
3482,2846
3483,2165
3484,2110
3485,5681
3486,1949
3487,868
3488,970
3489,252
3490,436
3491,280
3492,690
3493,526
3494,639
3495,1142
3496,6990
3497,528
3498,200
3499,809
3500,11978
3501,1078
3502,1100
3503,8734
3504,370
3505,611
3506,14115
3507,823
3508,6869
3509,711
3510,7260
3511,1163
3512,841
3513,2796
3514,1609
3515,592
3516,968
3517,927
3518,11986
3519,459
3520,26901
3521,2043
3522,646
3523,879
3524,1785
3525,6908
3526,931
3527,2043
3528,2914
3529,497
3530,760
3531,1223
3532,5944
3533,4655
3534,5237
3535,785
3536,1207
3537,3423
3538,3555
3539,460
3540,3576
3541,932
3542,21914
3543,2079
3544,8729
3545,434
3546,3251
3547,1251
3548,1197
3549,2817
3550,633
3551,2703
3552,16400
3553,945
3554,2687
3555,1145
3556,867
3557,761
3558,1733
3559,2462
3560,2808
3561,4426
3562,3775
3563,99326
3564,3944
3565,699
3566,3966
3567,242
3568,463
3569,2019
3570,424
3571,477
3572,31504
3573,766
3574,1119
3575,7848
3576,534
3577,4787
3578,548
3579,862
3580,381
3581,1345
3582,7256
3583,6276
3584,2707
3585,2987
3586,696
3587,721
3588,6367
3589,640
3590,10654
3591,1749
3592,24871
3593,5727
3594,4141
3595,2549
3596,1181
3597,20953
3598,12247
3599,4431
3600,28715
3601,742
3602,3140
3603,918
3604,4624
3605,1317
3606,724
3607,2170
3608,1040
3609,2511
3610,1353
3611,600
3612,36151
3613,6329
3614,1150
3615,2972
3616,4207
3617,247
3618,37665
3619,4153
3620,722
3621,391
3622,1885
3623,2085
3624,554
3625,1674
3626,912
3627,1667
3628,887
3629,409
3630,287
3631,3253
3632,900
3633,506
3634,1079
3635,646
3636,1323
3637,291
3638,390
3639,429
3640,12929
3641,361
3642,931
3643,517
3644,1156
3645,550
3646,660
3647,937
3648,373
3649,326
3650,898
3651,1433
3652,766
3653,1647
3654,664
3655,255
3656,5814
3657,907
3658,2086
3659,1187
3660,16013
3661,866
3662,1753
3663,1247
3664,1795
3665,223
3666,8709
3667,1363
3668,704
3669,993
3670,575
3671,2655
3672,1024
3673,6997
3674,4076
3675,552
3676,943
3677,1451
3678,2778
3679,456
3680,1210
3681,1484
3682,1048
3683,1204
3684,470
3685,939
3686,694
3687,1329
3688,423
3689,240
3690,541
3691,1523
3692,634
3693,621
3694,1478
3695,2071
3696,561
3697,783
3698,2326
3699,567
3700,4219
3701,17592
3702,3772
3703,5435
3704,2323
3705,445
3706,1669
3707,793
3708,6949
3709,2281
3710,448
3711,5248
3712,6819
3713,524
3714,1217
3715,529
3716,1573
3717,17567
3718,1281
3719,848
3720,1131
3721,2764
3722,4405
3723,670
3724,696
3725,14886
3726,695
3727,1578
3728,548
3729,1019
3730,1575
3731,1624
3732,6515
3733,18166
3734,8076
3735,3381
3736,3683
3737,704
3738,530
3739,584
3740,6603
3741,19899
3742,2260
3743,5093
3744,2313
3745,3317
3746,538
3747,2597
3748,462
3749,3890
3750,2018
3751,2861
3752,390
3753,187
3754,2066
3755,220
3756,3768
3757,999
3758,1729
3759,1037
3760,1756
3761,579
3762,210
3763,1143
3764,410
3765,515
3766,1745
3767,1240
3768,347
3769,1071
3770,250
3771,476
3772,1460
3773,982
3774,395
3775,1611
3776,915
3777,426
3778,342
3779,262
3780,365
3781,378
3782,1189
3783,484
3784,7070
3785,2859
3786,237
3787,2319
3788,1538
3789,1008
3790,1207
3791,1685
3792,288
3793,704
3794,1579
3795,1521
3796,1910
3797,1046
3798,756
3799,382
3800,344
3801,351
3802,601
3803,471
3804,782
3805,896
3806,2880
3807,2806
3808,4026
3809,4215
3810,1652
3811,1054
3812,4768
3813,1991
3814,589
3815,1727
3816,311
3817,513
3818,1063
3819,1921
3820,5789
3821,405
3822,2235
3823,1088
3824,1338
3825,16156
3826,15880
3827,364
3828,263
3829,550
3830,355
3831,1138
3832,701
3833,500
3834,997
3835,2357
3836,3233
3837,680
3838,1051
3839,1217
3840,5813
3841,900
3842,1858
3843,2178
3844,835
3845,2013
3846,629
3847,853
3848,478
3849,1364
3850,1161
3851,2077
3852,2241
3853,1004
3854,4196
3855,738
3856,798
3857,350
3858,176
3859,377
3860,705
3861,628
3862,737
3863,999
3864,1285
3865,1511
3866,587
3867,395
3868,1181
3869,1350
3870,1530
3871,2428
3872,691
3873,802
3874,630
3875,1462
3876,1972
3877,882
3878,1463
3879,549
3880,1070
3881,733
3882,460
3883,2382
3884,1267
3885,1267
3886,717
3887,1612
3888,1562
3889,1394
3890,551
3891,381
3892,834
3893,976
3894,746
3895,872
3896,1247
3897,727
3898,748
3899,307
3900,898
3901,591
3902,472
3903,2313
3904,1837
3905,437
3906,4623
3907,6025
3908,1492
3909,1013
3910,708
3911,1988
3912,5105
3913,2833
3914,2491
3915,318
3916,442
3917,272
3918,459
3919,2329
3920,924
3921,1817
3922,612
3923,1086
3924,475
3925,744
3926,3115
3927,359
3928,13577
3929,1247
3930,734
3931,918
3932,609
3933,746
3934,1323
3935,894
3936,570
3937,701
3938,1070
3939,2331
3940,3919
3941,657
3942,463
3943,165
3944,653
3945,6053
3946,1843
3947,425
3948,1215
3949,541
3950,2778
3951,626
3952,1809
3953,644
3954,1391
3955,784
3956,625
3957,347
3958,324
3959,652
3960,335
3961,347
3962,893
3963,1059
3964,1000
3965,499
3966,2041
3967,336
3968,985
3969,240
3970,622
3971,494
3972,281
3973,949
3974,378
3975,1345
3976,1456
3977,806
3978,488
3979,1004
3980,884
3981,512
3982,2931
3983,737
3984,301
3985,638
3986,1710
3987,497
3988,1029
3989,3520
3990,548
3991,1048
3992,405
3993,2017
3994,1524
3995,846
3996,1016
3997,556
3998,838
3999,297
4000,801
4001,229
4002,461
4003,445
4004,364
4005,3132
4006,959
4007,233
4008,494
4009,1231
4010,260
4011,445
4012,3399
4013,3626
4014,1174
4015,1960
4016,347
4017,611
4018,715
4019,724
4020,1890
4021,648
4022,653
4023,1171
4024,642
4025,605
4026,381
4027,858
4028,604
4029,1006
4030,683
4031,1072
4032,695
4033,890
4034,445
4035,298
4036,276
4037,1249
4038,154
4039,438
4040,390
4041,445
4042,1237
4043,2527
4044,298
4045,518
4046,293
4047,2544
4048,4064
4049,654
4050,852
4051,650
4052,1584
4053,989
4054,1936
4055,266
4056,496
4057,2606
4058,470
4059,1637
4060,1200
4061,760
4062,424
4063,934
4064,362
4065,455
4066,892
4067,700
4068,1152
4069,1017
4070,515
4071,543
4072,6564
4073,1174
4074,4921
4075,588
4076,945
4077,570
4078,1847
4079,1183
4080,1138
4081,1240
4082,1615
4083,1505
4084,2392
4085,879
4086,103
4087,439
4088,1075
4089,145
4090,885
4091,233
4092,2746
4093,498
4094,1923
4095,1787
4096,6670
4097,3544
4098,327
4099,1398
4100,704
4101,1025
4102,833
4103,2256
4104,520
4105,2215
4106,3051
4107,1038
4108,1691
4109,1989
4110,1521
4111,585
4112,537
4113,721
4114,990
4115,385
4116,247
4117,446
4118,737
4119,782
4120,475
4121,409
4122,250
4123,895
4124,608
4125,1000
4126,516
4127,235
4128,344
4129,484
4130,708
4131,431
4132,1156
4133,569
4134,327
4135,891
4136,301
4137,124
4138,550
4139,615
4140,144
4141,392
4142,214
4143,357
4144,730
4145,1255
4146,243
4147,258
4148,642
4149,234
4150,1046
4151,392
4152,698
4153,869
4154,377
4155,589
4156,934
4157,877
4158,364
4159,413
4160,306
4161,335
4162,492
4163,260
4164,316
4165,401
4166,271
4167,395
4168,220
4169,277
4170,218
4171,366
4172,450
4173,159
4174,355
4175,256
