,0
689,11530
690,41741
691,28616
692,11795
693,1808
694,10114
695,267
696,789
697,1024
698,455
699,501
700,431
701,18120
702,667
703,546
704,2828
705,11936
706,3069
707,1158
708,393
709,440
710,311
711,4757
712,404
713,506
714,8817
715,1061
716,97454
717,1612
718,14872
719,127782
720,31012
721,20083
722,10458
723,46194
724,4057
725,2957
726,19100
727,5858
728,735
729,1276
730,931
731,573
732,328
733,1973
734,1447
735,3166
736,452
737,2810
738,1122
739,267
740,498
741,1762
742,558
743,8955
744,41517
745,1122
746,18285
747,352
748,2615
749,205
750,280
751,543
752,272
753,99
754,446
755,216
756,189
757,387
758,454
759,214
760,2068
761,202
762,14729
763,501
764,738
765,383
766,665
767,669
768,1421
769,664
770,1084
771,802
772,590
773,317
774,288
775,338
776,525
777,212
778,2251
779,495
780,2080
781,735
782,2207
783,1019
784,3346
785,764
786,520
787,395
788,3069
789,5740
790,5283
791,9402
792,182
793,1077
794,815
795,539
796,465
797,779
798,11296
799,750
800,369
801,249
802,1494
803,843
804,217
805,1052
806,1032
807,2167
808,960
809,256
810,359
811,1702
812,722
813,1021
814,737
815,1217
816,2903
817,1132
818,1434
819,395
820,284
821,999
822,137
823,2745
824,873
825,136
826,2058
827,783
828,854
829,497
830,1590
831,556
832,3857
833,331
834,120
835,665
836,659
837,550
838,975
839,1054
840,1510
841,1012
842,1038
843,821
844,1039
845,1613
846,793
847,2173
848,734
849,925
850,908
851,775
852,735
853,2025
854,3930
855,351
856,631
857,414
858,194
859,1055
860,3391
861,25875
862,1166
863,1199
864,381
865,356
866,836
867,893
868,915
869,4541
870,629
871,1109
872,746
873,229
874,866
875,347
876,279
877,548
878,9248
879,3020
880,581
881,385
882,466
883,473
884,1374
885,12042
886,2510
887,300
888,1478
889,490
890,619
891,929
892,843
893,610
894,7437
895,2044
896,747
897,722
898,556
899,935
900,1492
901,610
902,8426
903,54790
904,18253
905,429
906,396
907,837
908,473
909,769
910,2957
911,415
912,170
913,697
914,1393
915,1612
916,1024
917,886
918,551
919,185
920,3835
921,1919
922,1762
923,15677
924,212
925,596
926,2021
927,892
928,3059
929,3099
930,399
931,362
932,739
933,152
934,907
935,1086
936,707
937,408
938,361
939,368
940,1940
941,612
942,3120
943,601
944,1015
945,1761
946,1165
947,1613
948,1498
949,779
950,452
951,2269
952,330
953,225
954,465
955,613
956,20763
957,290
958,643
959,1260
960,1002
961,649
962,19314
963,312
964,2454
965,843
966,170
967,447
968,1768
969,491
970,799
971,1247
972,1662
973,966
974,1473
975,309
976,358
977,225
978,413
979,382
980,788
981,395
982,1212
983,260
984,1801
985,581
986,499
987,346
988,22506
989,1235
990,1430
991,2405
992,637
993,2184
994,713
995,751
996,697
997,413
998,1160
999,677
1000,438
1001,448
1002,37074
1003,654
1004,418
1005,215
1006,1251
1007,1563
1008,1684
1009,511
1010,7475
1011,567
1012,1179
1013,1437
1014,1361
1015,741
1016,1179
1017,249
1018,1631
1019,1083
1020,718
1021,1047
1022,1562
1023,2028
1024,1497
1025,2758
1026,1740
1027,1173
1028,641
1029,1719
1030,1775
1031,1040
1032,1028
1033,1456
1034,1556
1035,1625
1036,1857
1037,1460
1038,1862
1039,1883
1040,1236
1041,545
1042,1300
1043,4010
1044,729
1045,5366
1046,6543
1047,1069
1048,2944
1049,654
1050,1269
1051,929
1052,411
1053,1468
1054,1180
1055,766
1056,348
1057,814
1058,1467
1059,597
1060,25265
1061,2078
1062,2446
1063,925
1064,1071
1065,837
1066,648
1067,932
1068,3149
1069,699
1070,2584
1071,1307
1072,17218
1073,1372
1074,722
1075,1571
1076,424
1077,416
1078,712
1079,6587
1080,270
1081,1034
1082,3190
1083,330
1084,1036
1085,442
1086,8985
1087,6150
1088,4276
1089,336
1090,1056
1091,486
1092,308
1093,858
1094,6476
1095,11620
1096,5618
1097,330
1098,750
1099,5555
1100,666
1101,2537
1102,921
1103,2527
1104,373
1105,1604
1106,524
1107,1348
1108,13116
1109,587
1110,694
1111,347
1112,3552
1113,1461
1114,2806
1115,13413
1116,1366
1117,602
1118,1063
1119,1091
1120,7055
1121,2525
1122,1536
1123,586
1124,596
1125,683
1126,1243
1127,840
1128,495
1129,1155
1130,353
1131,281
1132,622
1133,911
1134,9234
1135,530
1136,2442
1137,10124
1138,2524
1139,35089
1140,1116
1141,1176
1142,2119
1143,9445
1144,823
1145,1169
1146,10148
1147,7561
1148,27919
1149,24189
