,Intercept
532,15.672
533,15.595
534,15.629
535,15.554
536,15.504
537,15.45
538,15.435
539,15.368
540,15.288
541,15.257
542,15.181
543,15.147
544,15.153
545,15.071
546,15.014
547,14.923
548,14.942
549,14.821
550,14.788
551,14.715
552,14.707
553,14.658
554,14.605
555,14.526
556,14.459
557,14.382
558,14.353
559,14.256
560,14.193
561,14.275
562,14.254
563,14.251
564,14.241
565,14.195
566,14.125
567,14.037
568,14.005
569,13.968
570,14.101
571,14.206
572,14.279
573,14.33
574,14.36
575,14.443
576,14.487
577,14.584
578,14.639
579,14.721
580,14.932
581,15.049
582,15.174
583,15.249
584,15.312
585,15.305
586,15.293
587,15.381
588,15.364
589,15.356
590,15.285
591,15.181
592,15.168
593,15.214
594,15.294
595,15.336
596,15.405
597,15.519
598,15.492
599,15.512
600,15.544
601,15.439
602,15.407
603,15.43
604,15.465
605,15.528
606,15.74
607,15.761
608,15.725
609,15.719
610,15.787
611,15.801
612,15.84
613,15.864
614,15.935
615,15.992
616,16.016
617,16.024
618,16.076
619,16.035
620,16.016
621,16.077
622,16.093
623,16.13
624,16.236
625,16.306
626,16.234
627,16.175
628,16.2
629,16.199
630,16.357
631,16.464
632,16.574
633,16.642
634,16.615
635,16.617
636,16.593
637,16.548
638,16.607
639,16.7
640,16.837
641,17.038
642,17.203
643,17.355
644,17.322
645,17.411
646,17.398
647,17.375
648,17.394
649,17.391
650,17.31
651,17.526
652,17.683
653,17.77
654,17.893
655,17.968
656,18.036
657,18.128
658,18.174
659,18.281
660,18.382
661,18.336
662,18.349
663,18.413
664,18.498
665,18.649
666,18.78
667,18.845
668,18.886
669,18.999
670,18.926
671,18.86
672,18.885
673,18.89
674,18.862
675,19.249
676,19.333
677,19.375
678,19.456
679,19.383
680,19.276
681,19.298
682,19.192
683,19.096
684,18.997
685,18.924
686,18.844
687,18.71
688,18.61
689,18.501
690,18.431
691,18.377
692,18.387
693,18.37
694,18.342
695,18.3
696,18.211
697,18.026
698,17.921
699,17.876
700,17.855
701,17.861
702,17.79
703,17.716
704,17.629
705,17.617
706,17.4
707,17.281
708,17.167
709,17.02
710,16.792
711,16.785
712,16.74
713,16.625
714,16.504
715,16.409
716,16.356
717,16.348
718,16.328
719,16.344
720,16.354
721,16.257
722,16.185
723,16.146
724,16.096
725,15.951
726,15.944
727,15.942
728,15.968
729,15.992
730,15.899
731,15.77
732,15.637
733,15.555
734,15.502
735,15.553
736,15.571
737,15.619
738,15.501
739,15.398
740,15.263
741,15.08
742,14.952
743,14.734
744,14.709
745,14.683
746,14.727
747,14.866
748,14.892
749,14.972
750,14.996
751,14.784
752,14.693
753,14.674
754,14.602
755,14.556
756,14.428
757,14.287
758,14.113
759,14.004
760,13.851
761,13.789
762,13.646
763,13.539
764,13.407
765,13.304
766,13.195
767,13.065
768,12.94
769,12.762
770,12.68
771,12.614
772,12.529
773,12.458
774,12.425
775,11.969
776,11.858
777,11.749
778,11.578
779,11.505
780,11.378
781,11.242
782,11.229
783,11.282
784,11.309
785,11.381
786,11.432
787,11.431
788,11.474
789,11.534
790,11.532
791,11.592
792,11.557
793,11.521
794,11.622
795,11.771
796,11.893
797,12.072
798,12.232
799,12.285
800,12.3
801,12.341
802,12.41
803,12.466
804,12.492
805,12.439
806,12.463
807,12.458
808,12.447
809,12.448
810,12.431
811,12.364
812,12.322
813,12.369
814,12.404
815,12.434
816,12.438
817,12.423
818,12.464
819,12.743
820,12.798
821,12.866
822,12.92
823,12.942
824,12.922
825,13.001
826,13.021
827,13.049
828,13.025
829,12.989
830,12.939
831,12.926
832,12.928
833,12.981
834,13.031
835,12.98
836,13.019
837,13.036
838,13.054
839,13.102
840,13.111
841,13.097
842,13.095
843,13.135
844,13.161
845,13.098
846,13.049
847,12.922
848,12.95
849,13.008
850,13.102
851,13.198
852,13.187
853,13.095
854,13.018
855,12.93
856,12.962
857,12.987
858,13.063
859,13.077
860,13.175
861,13.162
862,13.18
863,13.162
864,13.12
865,13.003
866,12.955
867,12.951
868,13.008
869,13.071
870,13.103
871,13.058
872,13.026
873,12.988
874,12.941
875,12.908
876,12.881
877,12.827
878,12.838
879,12.829
880,12.827
881,12.845
882,12.813
883,12.724
884,12.703
885,12.635
886,12.637
887,12.693
888,12.653
889,12.599
890,12.622
891,12.571
892,12.633
893,12.724
894,12.631
895,12.537
896,12.465
897,12.37
898,12.279
899,12.261
900,12.238
901,12.11
902,12.026
903,11.984
904,11.976
905,12.014
906,11.995
907,11.923
908,11.932
909,11.944
910,11.996
911,12.054
912,12.092
913,12.014
914,11.994
915,12.012
916,12.045
917,12.137
918,12.145
919,11.867
920,11.841
921,11.867
922,11.909
923,11.934
924,11.931
925,11.872
926,11.866
927,11.865
928,11.919
929,12.029
930,12.098
931,12.155
932,12.177
933,12.276
934,12.284
935,12.288
936,12.253
937,12.224
938,12.415
939,12.537
940,12.651
941,12.823
942,12.84
943,12.806
944,12.81
945,12.831
946,12.907
947,12.98
948,12.945
949,12.837
950,12.778
951,12.758
952,12.704
953,12.765
954,12.755
955,12.768
956,12.818
957,12.882
958,12.898
959,12.869
